product_id,Size,Length,Waistline,Bust/Chest,Hips,Shoulder,Bottom Width
TOP-001,Small,32,,44,,,
TOP-001,Medium,27,,29.0,,,
TOP-001,Large,28,,30.0,,,
TOP-001,XL,29,,31.0,,,
TOP-001,2XL,30,,32.0,,,
TOP-001,3XL,31,,33.0,,,
TOP-002,Medium,26,32,28.0,12.0,,14.0
TOP-002,Small,22.0,,34.0,32.0,,14.0
TOP-002,Large,26,,38.0,36.0,,16.0
TOP-002,XL,27,,40.0,38.0,,17.0
TOP-002,2XL,28,,42.0,40.0,,18.0
TOP-002,3XL,29,,44.0,42.0,,19.0
BOT-001,Small,37-38,28,,,,
BOT-001,Medium,38-39,30,,,,
BOT-001,Large,39-40,32,,,,
BOT-001,XL,40-41,34,,,,
BOT-001,2XL,41-42,36,,,,
BOT-001,3XL,42-43,38,,,,
SKT-001,Small,20,28,,,,
SKT-001,Medium,21.0,30.0,,,,
SKT-001,Large,22,32,,,,
SKT-001,XL,23,34,,,,
SKT-001,2XL,24,36,,,,
SKT-001,3XL,25,38,,,,
PNT-001,Small,37-38,28,,,,
PNT-001,Medium,38-39,30,,,,
PNT-001,Large,39-40,32,,,,
PNT-001,XL,40-41,34,,,,
PNT-001,2XL,41-42,36,,,,
PNT-001,3XL,42-43,38,,,,
SHT-001,Small,28,,40.0,,,
SHT-001,Medium,27,,40.0,,,
SHT-001,Large,28,,42.0,,,
SHT-001,XL,29,,44.0,,,
SHT-001,2XL,30,,46.0,,,
SHT-001,3XL,31,,48.0,,,
PNT-002,Small,26,,19.0,,,19.0
PNT-002,Medium,27,,20.0,,,20.0
PNT-002,Large,28,,21.0,,,21.0
PNT-002,XL,29,,22.0,,,22.0
PNT-002,2XL,30,,23.0,,,23.0
PNT-002,3XL,31,,24.0,,,24.0
SHT-002,Small,38,27-28,,,,
SHT-002,Medium,39,29-30,,,,
SHT-002,Large,40,31-32,,,,
SHT-002,XL,41,33-34,,,,
SHT-002,2XL,42,35-36,,,,
SHT-002,3XL,43,37-38,,,,
